Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
33586,Normal/Others,WS/MP18071/2025-2026/253439-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Jharkhand,PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA),"construction of Sheed on Smshan Ghat vill-Lorhasi, Panchait-Lorhasi, Block-Panki",KALI CHARAN SINGH,CHATRA,Images,22-Aug-2026,128140.38,WS/MP18071/2025-2026/253439,Normal/Others,128140.38,2026-08-22,JHARKHAND,CHATRA,KALI CHARAN SINGH,"construction of Sheed on Smshan Ghat vill-Lorhasi, Panchait-Lorhasi, Block-Panki",True
33587,Normal/Others,WS/MP18306/2025-2026/185458-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),installlation of minimast  Kozhikkara Eravakkad Road,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185458,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,installlation of minimast  Kozhikkara Eravakkad Road,True
33588,Normal/Others,WS/MP18114/2026-2027/157453-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),Construction of Sabhamandap on Gram Panchayat land near Sri Swami Samarth Temple.,BAJRANG MANOHAR SONWANE,BEED,Images,08-Sep-2026,511132.99,WS/MP18114/2026-2027/157453,Normal/Others,511132.99,2026-09-08,MAHARASHTRA,BEED,BAJRANG MANOHAR SONWANE,Construction of Sabhamandap on Gram Panchayat land near Sri Swami Samarth Temple.,True
33589,Normal/Others,WS/MP423/2026-2027/136934-Installing community drinking water plants,Bihar,MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),Pandaul Prakhand ke Dahibhat Madhopur west Panchayat ke Salempur Gaw ke ward no 8 me Rajkishor Mishra ke Ghar ke bagal me Sarak Kinare Submersible Pump ka Adhisthapan Karya,Ramprit Mandal,JHANJHARPUR,Images,01-Sep-2026,101827.52,WS/MP423/2026-2027/136934,Normal/Others,101827.52,2026-09-01,BIHAR,JHANJHARPUR,RAMPRIT MANDAL,Pandaul Prakhand ke Dahibhat Madhopur west Panchayat ke Salempur Gaw ke ward no 8 me Rajkishor Mishra ke Ghar ke bagal me Sarak Kinare Submersible Pump ka Adhisthapan Karya,True
33590,Normal/Others,WS/MP823/2025-2026/152969-Construction of culverts and bridges,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Construction of Culvert connect of Gobindapur sansad to Tarakganj sansad at the river of voirab  at Dighalkandi GP Under Karimpur-II Block.(PHASE-I),Ms Mahua Moitra,KRISHNANAGAR,Images,02-Sep-2026,2524300.31,WS/MP823/2025-2026/152969,Normal/Others,2524300.31,2026-09-02,WEST BENGAL,KRISHNANAGAR,MS MAHUA MOITRA,Construction of Culvert connect of Gobindapur sansad to Tarakganj sansad at the river of voirab  at Dighalkandi GP Under Karimpur-II Block.(PHASE-I),True
33591,Normal/Others,WS/MP18306/2025-2026/185472-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light in  front of South thrithala juma musjid,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185472,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light in  front of South thrithala juma musjid,True
33592,Normal/Others,"WS/MP582/2025-2026/147364-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),"Divyang Hiteshbhai Chaudhari (resident of Kasal, Mandvi, Dist.Surat) at Kasal village, the work of electric scooter facility, Taluka Mandvi, Dist.Surat",Prabhubhai Nagarbhai Vasava,BARDOLI(ST),Images,11-Aug-2026,38442.11,WS/MP582/2025-2026/147364,Normal/Others,38442.11,2026-08-11,GUJARAT,BARDOLI(ST),PRABHUBHAI NAGARBHAI VASAVA,"Divyang Hiteshbhai Chaudhari (resident of Kasal, Mandvi, Dist.Surat) at Kasal village, the work of electric scooter facility, Taluka Mandvi, Dist.Surat",True
33593,Normal/Others,"WS/MP18161/2026-2027/268580-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,Deeg(DISTRICT COLLECTOR Deeg_IDA),interlocking brick paving construction work in various streets of village dahara,SANJNA JATAV,BHARATPUR(SC),Images,26-Aug-2026,255933.24,WS/MP18161/2026-2027/268580,Normal/Others,255933.24,2026-08-26,RAJASTHAN,BHARATPUR(SC),SANJNA JATAV,interlocking brick paving construction work in various streets of village dahara,True
33594,Normal/Others,WS/MP18223/2025-2026/191088-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Uttar Pradesh,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Gram Bhanhera Khemchand mein shamshan ghat mein ek shavdah grih nirman karya. no 1 6.00 x 6.00,IQRA CHOUDHARY,KAIRANA,Images,25-Aug-2026,257480.15,WS/MP18223/2025-2026/191088,Normal/Others,257480.15,2026-08-25,UTTAR PRADESH,KAIRANA,IQRA CHOUDHARY,Gram Bhanhera Khemchand mein shamshan ghat mein ek shavdah grih nirman karya. no 1 6.00 x 6.00,True
33595,Normal/Others,WS/MP18306/2025-2026/185464-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light at Moorkkathazham,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185464,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light at Moorkkathazham,True
33596,Normal/Others,WS/MP18305/2025-2026/182585-Construction of footpaths and pedestrian ways,Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Construction of Parappur Stadium road,E.T. MOHAMMED BASHEER,MALAPPURAM,Images,05-Aug-2026,156201.07,WS/MP18305/2025-2026/182585,Normal/Others,156201.07,2026-08-05,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,Construction of Parappur Stadium road,True
33597,Normal/Others,WS/MP18305/2025-2026/183449-Lighting of public spaces,Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),"Installation of Mini mast light near Thodiyapulam Railway Station, ward 7",E.T. MOHAMMED BASHEER,MALAPPURAM,Images,06-Aug-2026,88673.14,WS/MP18305/2025-2026/183449,Normal/Others,88673.14,2026-08-06,KERALA,MALAPPURAM,E.T. MOHAMMED BASHEER,"Installation of Mini mast light near Thodiyapulam Railway Station, ward 7",True
33598,Normal/Others,"WS/MP18042/2025-2026/260758-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),PCC road construction work from Ajit Prasad Dev Ghar to Wakhar Pokhar in Barheta Panchayat Ward-08 under Kalyanpur Block.,SHAMBHAVI,SAMASTIPUR(SC),Images,17-Aug-2026,301135.52,WS/MP18042/2025-2026/260758,Normal/Others,301135.52,2026-08-17,BIHAR,SAMASTIPUR(SC),SHAMBHAVI,PCC road construction work from Ajit Prasad Dev Ghar to Wakhar Pokhar in Barheta Panchayat Ward-08 under Kalyanpur Block.,True
33599,Normal/Others,"WS/MP18306/2025-2026/185851-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),construction  of Alingal P H C Juma masjid Road,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,31-Jul-2026,234774.7,WS/MP18306/2025-2026/185851,Normal/Others,234774.7,2026-07-31,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,construction  of Alingal P H C Juma masjid Road,True
33600,Normal/Others,WS/MP743/2026-2027/230540-Installing community drinking water plants,Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),"RO PLANT in Cheyyur Taluk Office Campus, Chengalpattu District.",Ganesan Selvam,KANCHEEPURAM(SC),Images,21-Aug-2026,766422.96,WS/MP743/2026-2027/230540,Normal/Others,766422.96,2026-08-21,TAMIL NADU,KANCHEEPURAM(SC),GANESAN SELVAM,"RO PLANT in Cheyyur Taluk Office Campus, Chengalpattu District.",True
33601,Normal/Others,"WS/MP577/2025-2026/199258-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),moti bandibar game aamli faliya thi kumbharvada sudhi 300 meter c.c.road nu kam,Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Images,24-Aug-2026,255768.19,WS/MP577/2025-2026/199258,Normal/Others,255768.19,2026-08-24,GUJARAT,DAHOD(ST),JASWANTSINH SUMANBHAI BHABHOR,moti bandibar game aamli faliya thi kumbharvada sudhi 300 meter c.c.road nu kam,True
33602,Normal/Others,WS/MP18306/2025-2026/185481-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),installation minimast light at Irumbaksheri  centre,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185481,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,installation minimast light at Irumbaksheri  centre,True
33603,Normal/Others,WS/MP18178/2025-2026/178131-Lighting of public spaces,Tamil Nadu,SALEM(DISTRICT COLLECTOR SALEM_IDA),"Procurement and Installation of Mini High Mast Light  (12.5 m) at 3 road, Ward 25, Housing board Attur Municipality",MALAIYARASAN D,KALLAKURICHI,Images,25-Aug-2026,239240.13,WS/MP18178/2025-2026/178131,Normal/Others,239240.13,2026-08-25,TAMIL NADU,KALLAKURICHI,MALAIYARASAN D,"Procurement and Installation of Mini High Mast Light  (12.5 m) at 3 road, Ward 25, Housing board Attur Municipality",True
33604,Normal/Others,"WS/MP18036/2025-2026/211435-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA),For the construction of a PCC road from near Bajrangbali Temple to the house of Sikander Paswan,ARUN BHARTI,JAMUI(SC),Images,07-Aug-2026,246917.28,WS/MP18036/2025-2026/211435,Normal/Others,246917.28,2026-08-07,BIHAR,JAMUI(SC),ARUN BHARTI,For the construction of a PCC road from near Bajrangbali Temple to the house of Sikander Paswan,True
33605,Repair and Renovation,"WS/MP440/2025-2026/170177-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Renovation Of Padinjattumuri Puthenpeedika to Mala road in Tharakkalpadi Manakkalpadi Road Ward-16  in Vallapuzha Grama Panchayath,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,Images,21-Jul-2026,370417.95,WS/MP440/2025-2026/170177,Repair and Renovation,370417.95,2026-07-21,KERALA,PALAKKAD,VELLALATH KOCHUKRISHNAN NAIR SREEKANDAN,Renovation Of Padinjattumuri Puthenpeedika to Mala road in Tharakkalpadi Manakkalpadi Road Ward-16  in Vallapuzha Grama Panchayath,True
33606,Normal/Others,WS/MP743/2026-2027/230543-Lighting of public spaces,Tamil Nadu,CHENGALPATTU(District Collector Chengalpattu_IDA),"Providing High Mast Light at Mugaiyur Panchayt, Naduthittu at Lathur Panchayat Union.",Ganesan Selvam,KANCHEEPURAM(SC),Images,21-Aug-2026,384366.8,WS/MP743/2026-2027/230543,Normal/Others,384366.8,2026-08-21,TAMIL NADU,KANCHEEPURAM(SC),GANESAN SELVAM,"Providing High Mast Light at Mugaiyur Panchayt, Naduthittu at Lathur Panchayat Union.",True
33607,Normal/Others,WS/MP18148/2025-2026/227968-Construction of rooms and halls in school and colleges,Odisha,MALKANGIRI(District Collector Malkangiri_IDA),Construction of additional class room at MV-23 School,BALABHADRA MAJHI,NABARANGPUR(ST),Images,12-Aug-2026,255256.65,WS/MP18148/2025-2026/227968,Normal/Others,255256.65,2026-08-12,ODISHA,NABARANGPUR(ST),BALABHADRA MAJHI,Construction of additional class room at MV-23 School,True
33608,Normal/Others,"WS/MP18226/2025-2026/259879-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),Vikas Khand Bankeganj ke Gram Wajeernager ke gra Amjabehar Me Shri Ramesh Bhargaw ke Makan se Shri meva ke Makan tak interloking avm Nali Nirmar,UTKARSH VERMA MADHUR,KHERI,Images,08-Sep-2026,809047.58,WS/MP18226/2025-2026/259879,Normal/Others,809047.58,2026-09-08,UTTAR PRADESH,KHERI,UTKARSH VERMA MADHUR,Vikas Khand Bankeganj ke Gram Wajeernager ke gra Amjabehar Me Shri Ramesh Bhargaw ke Makan se Shri meva ke Makan tak interloking avm Nali Nirmar,True
33609,Normal/Others,"WS/MP18226/2025-2026/259880-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),Vikas Khand Bankeganj ke Gram Wajeernager ke gra Lalanganj me Kamalluddin ke Makan se Anish ke Makan tak interloking avm Nali Nirmar,UTKARSH VERMA MADHUR,KHERI,Images,08-Sep-2026,560069.8,WS/MP18226/2025-2026/259880,Normal/Others,560069.8,2026-09-08,UTTAR PRADESH,KHERI,UTKARSH VERMA MADHUR,Vikas Khand Bankeganj ke Gram Wajeernager ke gra Lalanganj me Kamalluddin ke Makan se Anish ke Makan tak interloking avm Nali Nirmar,True
33610,Normal/Others,"WS/MP18212/2025-2026/267392-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),GRAM PANCHAYAT KARAUNDA ME PENTED ROAD SE DR. MUNISH KHAN KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,85442.46,WS/MP18212/2025-2026/267392,Normal/Others,85442.46,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,GRAM PANCHAYAT KARAUNDA ME PENTED ROAD SE DR. MUNISH KHAN KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33611,Normal/Others,"WS/MP18212/2025-2026/267433-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK ISANAGAR KE GRAM PANCHAYAT DURGAPUR PADRI ME SUDHIR SHRIVASTAV KE MAKAN SE BHOLE KUMAR KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,727877.83,WS/MP18212/2025-2026/267433,Normal/Others,727877.83,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK ISANAGAR KE GRAM PANCHAYAT DURGAPUR PADRI ME SUDHIR SHRIVASTAV KE MAKAN SE BHOLE KUMAR KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33612,Normal/Others,"WS/MP18212/2025-2026/267400-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),GRAM PANCHAYAT MAUTHIKHEDA KE MAJRA PARVARISH NAGAR ME PRATHMIK VIDYALAY SE SURENDRA SINGH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,446603.04,WS/MP18212/2025-2026/267400,Normal/Others,446603.04,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,GRAM PANCHAYAT MAUTHIKHEDA KE MAJRA PARVARISH NAGAR ME PRATHMIK VIDYALAY SE SURENDRA SINGH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,True
33613,Normal/Others,"WS/MP18212/2025-2026/267401-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK PASGAVAN KE GRAM PANCHAYAT UCHAULIYA ME PENTED ROAD SE PRADEEP BAJPEYI KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,218239.97,WS/MP18212/2025-2026/267401,Normal/Others,218239.97,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK PASGAVAN KE GRAM PANCHAYAT UCHAULIYA ME PENTED ROAD SE PRADEEP BAJPEYI KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,True
33614,Normal/Others,"WS/MP18212/2025-2026/267418-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),GRAM PANCHAYAT KIRIYARA ME ATEEK KHAN KE MAKAN SE AHAMAD SHER KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,116737.42,WS/MP18212/2025-2026/267418,Normal/Others,116737.42,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,GRAM PANCHAYAT KIRIYARA ME ATEEK KHAN KE MAKAN SE AHAMAD SHER KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,True
33615,Normal/Others,"WS/MP18212/2025-2026/267419-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK MOHAMMADI KE GRAM PANCHAYAT PIPIRIA KAPTAN ME SUNEEL KE MAKAN SE SANTOSH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,443306.76,WS/MP18212/2025-2026/267419,Normal/Others,443306.76,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK MOHAMMADI KE GRAM PANCHAYAT PIPIRIA KAPTAN ME SUNEEL KE MAKAN SE SANTOSH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,True
33616,Normal/Others,"WS/MP18212/2025-2026/267417-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),GRAM PANCHAYAT RAMPUR MADARI ME SHER KHAN KE MAKAN SE RAFIULLA KHAN KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,251354.01,WS/MP18212/2025-2026/267417,Normal/Others,251354.01,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,GRAM PANCHAYAT RAMPUR MADARI ME SHER KHAN KE MAKAN SE RAFIULLA KHAN KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33617,Normal/Others,"WS/MP18212/2025-2026/267422-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK PASGAVAN KE GRAM PANCHAYAT KIRIYARA KE MAJARA KIRIYARI ME SAKIM KE GHAR SE MUSIR KE GHAR TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,406558.15,WS/MP18212/2025-2026/267422,Normal/Others,406558.15,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK PASGAVAN KE GRAM PANCHAYAT KIRIYARA KE MAJARA KIRIYARI ME SAKIM KE GHAR SE MUSIR KE GHAR TAK INTERLOKING V NALI NIRMAN KARYA,True
33618,Normal/Others,"WS/MP18212/2025-2026/267424-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK MOHAMMADI KE GRAM PANCHAYAT PADSAR ME SHIVPAL SINGH MAKAN SE RAJU SINGH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,191329.98,WS/MP18212/2025-2026/267424,Normal/Others,191329.98,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK MOHAMMADI KE GRAM PANCHAYAT PADSAR ME SHIVPAL SINGH MAKAN SE RAJU SINGH KE MAKAN TAK INTERLOKING V NALI NIRMAN KARYA,True
33619,Normal/Others,"WS/MP18212/2025-2026/267425-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK DHAURHARA KE GRAM SARSAWA ME RAJU NAI KE GHAR SE DHANIRAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,293752.07,WS/MP18212/2025-2026/267425,Normal/Others,293752.07,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK DHAURHARA KE GRAM SARSAWA ME RAJU NAI KE GHAR SE DHANIRAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33620,Normal/Others,"WS/MP18212/2025-2026/267426-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK DHAURHARA KE GRAM PANCHAYAT BASDIYA ME RISHIRAJ KE MAKAN SE DEEPU GAUTAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,425353.78,WS/MP18212/2025-2026/267426,Normal/Others,425353.78,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK DHAURHARA KE GRAM PANCHAYAT BASDIYA ME RISHIRAJ KE MAKAN SE DEEPU GAUTAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33621,Normal/Others,"WS/MP18212/2025-2026/267432-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK DHAURHARA KE GRAM PANCHAYAT KAROUHAN ME OM PRAKASH CHAUKIDAR KE MAKAN SE MANOHAR LAL MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,278685.33,WS/MP18212/2025-2026/267432,Normal/Others,278685.33,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK DHAURHARA KE GRAM PANCHAYAT KAROUHAN ME OM PRAKASH CHAUKIDAR KE MAKAN SE MANOHAR LAL MAKAN TAK INTERLOKING NIRMAN KARYA,True
33622,Normal/Others,"WS/MP18212/2025-2026/267430-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,KHERI(DISTRICT MAGISTRAE KHERI_IDA),BLOCK ISANAGAR KE GRAM PANCHAYAT GAISAPUR KE MAJRA DULHI ME SONE LAL KE MAKAN SE SATNAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,ANAND BHADAURIYA,DHAURAHRA,Images,08-Sep-2026,336492.53,WS/MP18212/2025-2026/267430,Normal/Others,336492.53,2026-09-08,UTTAR PRADESH,DHAURAHRA,ANAND BHADAURIYA,BLOCK ISANAGAR KE GRAM PANCHAYAT GAISAPUR KE MAJRA DULHI ME SONE LAL KE MAKAN SE SATNAM KE MAKAN TAK INTERLOKING NIRMAN KARYA,True
33623,Normal/Others,WS/MP18178/2026-2027/178133-Lighting of public spaces,Tamil Nadu,SALEM(DISTRICT COLLECTOR SALEM_IDA),"Procurement and Installation of Mini High Mast Light  (12.5 m) near Kesavan theater, Railadi street, Attur Municipality",MALAIYARASAN D,KALLAKURICHI,Images,25-Aug-2026,238639.41,WS/MP18178/2026-2027/178133,Normal/Others,238639.41,2026-08-25,TAMIL NADU,KALLAKURICHI,MALAIYARASAN D,"Procurement and Installation of Mini High Mast Light  (12.5 m) near Kesavan theater, Railadi street, Attur Municipality",True
33624,Normal/Others,"WS/MP18153/2025-2026/212055-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),TO SARPANCH GRAM PANCHYT KULAR TO Construct firni street from Bhup singh so lilu ram to karni Mata Mandir  Amedakar bhawan kular,SHER SINGH GHUBAYA,FIROZPUR,Images,13-Aug-2026,153768.45,WS/MP18153/2025-2026/212055,Normal/Others,153768.45,2026-08-13,PUNJAB,FIROZPUR,SHER SINGH GHUBAYA,TO SARPANCH GRAM PANCHYT KULAR TO Construct firni street from Bhup singh so lilu ram to karni Mata Mandir  Amedakar bhawan kular,True
33625,Normal/Others,WS/MP18002/2025-2026/267660-Construction of bus-sheds or bus-stops,Andhra Pradesh,Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA),Construction of Bus Shelter at P.Bheemavaram Village of Butchayyapeta Mandal of Anakapalli District,C.M.RAMESH,ANAKAPALLE,Images,08-Sep-2026,255279.72,WS/MP18002/2025-2026/267660,Normal/Others,255279.72,2026-09-08,ANDHRA PRADESH,ANAKAPALLE,C.M.RAMESH,Construction of Bus Shelter at P.Bheemavaram Village of Butchayyapeta Mandal of Anakapalli District,True
33626,Normal/Others,WS/MP18002/2025-2026/256730-Installing community drinking water plants,Andhra Pradesh,Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA),Providing 1000 LPHS RO Water Plant with shed at Atcherla Village of Kasimkota mandal,C.M.RAMESH,ANAKAPALLE,Images,08-Sep-2026,307274.98,WS/MP18002/2025-2026/256730,Normal/Others,307274.98,2026-09-08,ANDHRA PRADESH,ANAKAPALLE,C.M.RAMESH,Providing 1000 LPHS RO Water Plant with shed at Atcherla Village of Kasimkota mandal,True
33627,Normal/Others,"WS/MP323/2025-2026/227161-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA),"Gir Somnath District,Una Taluka,Nathal Village,Paver block work from the main road to Allarakha Hussain house in Nathal village",Rajeshbhai Naranbhai Chudasama,JUNAGADH,Images,21-Aug-2026,153713.09,WS/MP323/2025-2026/227161,Normal/Others,153713.09,2026-08-21,GUJARAT,JUNAGADH,RAJESHBHAI NARANBHAI CHUDASAMA,"Gir Somnath District,Una Taluka,Nathal Village,Paver block work from the main road to Allarakha Hussain house in Nathal village",True
33628,Normal/Others,WS/MP18314/2025-2026/219739-Construction of common work sheds/ common covered sitting area,Punjab,SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA),Construction of Shed in Common Near Common Chowk Village Bakhora Kalan Block Lehra,GURMEET SINGH MEET HAYER,SANGRUR,Images,13-Aug-2026,76884.23,WS/MP18314/2025-2026/219739,Normal/Others,76884.23,2026-08-13,PUNJAB,SANGRUR,GURMEET SINGH MEET HAYER,Construction of Shed in Common Near Common Chowk Village Bakhora Kalan Block Lehra,True
33629,Normal/Others,WS/MP18306/2025-2026/185471-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Installation of minimast light in front of Thrithala Police Station,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Images,07-Aug-2026,80560.32,WS/MP18306/2025-2026/185471,Normal/Others,80560.32,2026-08-07,KERALA,PONNANI,DR. M.P ABDUSSAMAD SAMADANI,Installation of minimast light in front of Thrithala Police Station,True
